R@10,R@50,duration_seconds,epoch,evaluated,lr_composition,lr_image_encoder,lr_text_encoder,peak_allocated_gib,peak_reserved_gib,timestamp_utc,train_loss
,,136.22,22,False,0.00021837157971106217,7.542957248827961e-06,7.542957248827961e-06,5.384,5.602,2026-07-13T09:10:46.096097+00:00,0.6404589942113601
,,136.653,23,False,0.0002113071281398321,7.3303148938411025e-06,7.3303148938411025e-06,5.383,5.602,2026-07-13T09:13:19.415311+00:00,0.63672569250678
,,137.374,24,False,0.00020407600845702238,7.112655772953854e-06,7.112655772953854e-06,5.389,5.602,2026-07-13T09:15:51.790541+00:00,0.6295313149849999
19.682697074863658,43.6291522062469,150.045,25,True,0.0001966980406590546,6.890576474687265e-06,6.890576474687265e-06,5.381,5.602,2026-07-13T09:18:36.816354+00:00,0.6214626778893292
,,137.682,26,False,0.00018919344724282683,6.664685702961345e-06,6.664685702961345e-06,5.37,5.602,2026-07-13T09:21:11.008300+00:00,0.6116999423599498
,,133.391,27,False,0.00018158279777725497,6.4356026086799176e-06,6.4356026086799176e-06,5.364,5.602,2026-07-13T09:23:41.965549+00:00,0.6109212354861479
,,130.39,28,False,0.00017388695252351449,6.20395509268104e-06,6.20395509268104e-06,5.391,5.602,2026-07-13T09:26:10.379709+00:00,0.6059105191479393
,,134.223,29,False,0.00016612700525851415,5.970378084704442e-06,5.970378084704442e-06,5.384,5.602,2026-07-13T09:28:44.275123+00:00,0.6032278013022189
18.542389687654932,44.22409519087754,145.657,30,True,0.00015832422545832003,5.7355118030932474e-06,5.7355118030932474e-06,5.385,5.602,2026-07-13T09:31:29.606524+00:00,0.5954894291207115
,,135.299,31,False,0.0001505,5.5000000000000016e-06,5.5000000000000016e-06,5.382,5.602,2026-07-13T09:34:02.863863+00:00,0.6003415543924678
,,146.186,32,False,0.00014267577454167988,5.264488196906754e-06,5.264488196906754e-06,5.374,5.602,2026-07-13T09:36:48.582479+00:00,0.5875045796607268
,,140.107,33,False,0.0001348729947414858,5.02962191529556e-06,5.02962191529556e-06,5.384,5.602,2026-07-13T09:39:26.921383+00:00,0.5868407371528646
,,139.855,34,False,0.00012711304747648546,4.796044907318961e-06,4.796044907318961e-06,5.382,5.602,2026-07-13T09:42:05.051622+00:00,0.5796957069778825
19.930589985126428,43.18294496777392,158.477,35,True,0.00011941720222274495,4.564397391320083e-06,4.564397391320083e-06,5.391,5.602,2026-07-13T09:45:03.127284+00:00,0.5783534866364245
,,144.761,36,False,0.00011180655275717316,4.335314297038658e-06,4.335314297038658e-06,5.391,5.602,2026-07-13T09:47:47.399217+00:00,0.5747656093482028
,,146.189,37,False,0.00010430195934094536,4.109423525312738e-06,4.109423525312738e-06,5.391,5.602,2026-07-13T09:50:33.083272+00:00,0.5756259411174983
,,142.309,38,False,9.69239915429776e-05,3.88734422704615e-06,3.88734422704615e-06,5.391,5.602,2026-07-13T09:53:14.426264+00:00,0.5692030082252574
,,142.175,39,False,8.969287186016789e-05,3.6696851061589014e-06,3.6696851061589014e-06,5.383,5.602,2026-07-13T09:55:56.634216+00:00,0.5628968395571657
18.98859692612791,43.18294496777392,152.628,40,True,8.262842028893776e-05,3.4570427511720416e-06,3.4570427511720416e-06,5.38,5.602,2026-07-13T09:58:47.173677+00:00,0.5632964582605795
,,126.477,41,False,7.575000000000004e-05,3.2500000000000028e-06,3.2500000000000028e-06,5.38,5.602,2026-07-13T10:01:11.380387+00:00,0.560045740422718
,,145.678,42,False,6.907646426525351e-05,3.0491243424323813e-06,3.0491243424323813e-06,5.38,5.602,2026-07-13T10:03:56.997422+00:00,0.5595548681237481
,,125.546,43,False,6.26261047822753e-05,2.8549663646838734e-06,2.8549663646838734e-06,5.372,5.602,2026-07-13T10:06:21.564337+00:00,0.5591947996919168
,,138.056,44,False,5.641660153804934e-05,2.668058240275734e-06,2.668058240275734e-06,5.377,5.602,2026-07-13T10:08:56.476416+00:00,0.5517361373665498
19.533961328706,44.32325235498264,145.612,45,True,5.046497434935076e-05,2.488912271385141e-06,2.488912271385141e-06,5.384,5.602,2026-07-13T10:11:38.185637+00:00,0.5539666613075822
,,136.167,46,False,4.478753621261117e-05,2.318019484660538e-06,2.318019484660538e-06,5.38,5.602,2026-07-13T10:14:13.833335+00:00,0.5510268585089056
