R@10,R@50,duration_seconds,epoch,evaluated,lr_composition,lr_image_encoder,lr_text_encoder,peak_allocated_gib,peak_reserved_gib,timestamp_utc,train_loss
,,158.021,1,False,0.0003,1e-05,1e-05,5.366,5.6,2026-07-14T04:00:17.124031+00:00,1.7860877358739278
,,124.201,2,False,0.00029979511544580873,9.993832906395583e-06,9.993832906395583e-06,5.375,5.6,2026-07-14T04:02:24.111436+00:00,1.5396959142855915
,,125.418,3,False,0.0002991810233575568,9.97534852915723e-06,9.97534852915723e-06,5.371,5.6,2026-07-14T04:04:45.449127+00:00,1.346844564475228
,,131.197,4,False,0.00029815940691897306,9.94459753267812e-06,9.94459753267812e-06,5.37,5.6,2026-07-14T04:07:09.189587+00:00,1.1038806974333755
14.17644059153493,36.56297807241204,191.967,5,True,0.0002967330663097039,9.901664203302126e-06,9.901664203302126e-06,5.374,5.6,2026-07-14T04:10:45.059249+00:00,0.9509424321046706
,,125.943,6,False,0.00029490591103021566,9.846666218300808e-06,9.846666218300808e-06,5.381,5.6,2026-07-14T04:13:13.212407+00:00,0.8779963075243936
,,125.777,7,False,0.0002926829491861254,9.779754323328192e-06,9.779754323328192e-06,5.371,5.6,2026-07-14T04:15:35.988058+00:00,0.8336741238001333
,,126.678,8,False,0.0002900702737613316,9.701111919237408e-06,9.701111919237408e-06,5.373,5.6,2026-07-14T04:17:59.093681+00:00,0.8091140569918659
,,125.925,9,False,0.00028707504591756876,9.610954559391704e-06,9.610954559391704e-06,5.366,5.6,2026-07-14T04:20:21.082932+00:00,0.7745472576672021
18.408975012748595,45.43600203977562,139.474,10,True,0.0002837054753661609,9.509529358847657e-06,9.509529358847657e-06,5.371,5.6,2026-07-14T04:22:56.183528+00:00,0.7556592430251529
,,125.921,11,False,0.00027997079786577355,9.397114317029977e-06,9.397114317029977e-06,5.374,5.6,2026-07-14T04:25:39.267949+00:00,0.7274636098271505
,,126.519,12,False,0.00027588124990784085,9.27401755575441e-06,9.27401755575441e-06,5.377,5.6,2026-07-14T04:27:59.356034+00:00,0.706156834346523
,,125.96,13,False,0.0002714480406590546,9.140576474687265e-06,9.140576474687265e-06,5.374,5.6,2026-07-14T04:30:21.462107+00:00,0.6938285545840523
,,127.541,14,False,0.00026668332123781714,8.99715682655637e-06,8.99715682655637e-06,5.369,5.6,2026-07-14T04:32:47.075703+00:00,0.6799096146111153
18.45996940336563,43.29423763386028,140.59,15,True,0.00026160015140887043,8.844151714648274e-06,8.844151714648274e-06,5.371,5.6,2026-07-14T04:35:50.139835+00:00,0.6667227312863111
,,131.249,16,False,0.00025621246378738883,8.681980515339464e-06,8.681980515339464e-06,5.373,5.6,2026-07-14T04:38:28.378385+00:00,0.6549349340942909
,,127.596,17,False,0.0002505350256506493,8.511087728614861e-06,8.511087728614861e-06,5.366,5.6,2026-07-14T04:40:52.763523+00:00,0.6456464391305627
,,128.535,18,False,0.00024458339846195065,8.331941759724268e-06,8.331941759724268e-06,5.372,5.6,2026-07-14T04:43:18.230470+00:00,0.6357900816922486
,,132.302,19,False,0.00023837389521772466,8.145033635316128e-06,8.145033635316128e-06,5.367,5.6,2026-07-14T04:45:48.204080+00:00,0.6289894416987658
20.60173380928098,45.385007649158595,158.224,20,True,0.00023192353573474648,7.950875657567622e-06,7.950875657567622e-06,5.372,5.6,2026-07-14T04:48:44.272056+00:00,0.6150259184014116
,,129.635,21,False,0.00022524999999999992,7.75e-06,7.75e-06,5.366,5.6,2026-07-14T04:51:35.133840+00:00,0.6148854638159196
,,131.083,22,False,0.00021837157971106217,7.542957248827961e-06,7.542957248827961e-06,5.375,5.6,2026-07-14T04:54:02.031577+00:00,0.605301398125936
,,128.925,23,False,0.0002113071281398321,7.3303148938411025e-06,7.3303148938411025e-06,5.371,5.6,2026-07-14T04:56:29.395283+00:00,0.6019156260952689
,,126.723,24,False,0.00020407600845702238,7.112655772953854e-06,7.112655772953854e-06,5.375,5.6,2026-07-14T04:58:53.534342+00:00,0.5948019254096792
20.90770015298317,47.16981132075472,142.999,25,True,0.0001966980406590546,6.890576474687265e-06,6.890576474687265e-06,5.366,5.6,2026-07-14T05:01:30.960386+00:00,0.5887226000883348
,,128.942,26,False,0.00018919344724282683,6.664685702961345e-06,6.664685702961345e-06,5.372,5.6,2026-07-14T05:04:17.023832+00:00,0.5836017892892618
,,130.063,27,False,0.00018158279777725497,6.4356026086799176e-06,6.4356026086799176e-06,5.371,5.6,2026-07-14T05:06:43.586345+00:00,0.5808443532363669
,,127.45,28,False,0.00017388695252351449,6.20395509268104e-06,6.20395509268104e-06,5.37,5.6,2026-07-14T05:09:09.789008+00:00,0.573446633925001
,,127.906,29,False,0.00016612700525851415,5.970378084704442e-06,5.970378084704442e-06,5.367,5.6,2026-07-14T05:11:36.458909+00:00,0.5740993111177903
22.437531871494134,47.16981132075472,142.146,30,True,0.00015832422545832003,5.7355118030932474e-06,5.7355118030932474e-06,5.381,5.6,2026-07-14T05:14:17.342916+00:00,0.566774164023469
,,127.988,31,False,0.0001505,5.5000000000000016e-06,5.5000000000000016e-06,5.376,5.6,2026-07-14T05:17:09.117901+00:00,0.5675741142802346
,,128.396,32,False,0.00014267577454167988,5.264488196906754e-06,5.264488196906754e-06,5.381,5.6,2026-07-14T05:19:36.988471+00:00,0.5577338428927925
,,125.979,33,False,0.0001348729947414858,5.02962191529556e-06,5.02962191529556e-06,5.371,5.6,2026-07-14T05:22:03.259681+00:00,0.5578421998625575
,,125.341,34,False,0.00012711304747648546,4.796044907318961e-06,4.796044907318961e-06,5.381,5.6,2026-07-14T05:24:32.616339+00:00,0.5551717106010493
22.131565527791945,48.0877103518613,143.259,35,True,0.00011941720222274495,4.564397391320083e-06,4.564397391320083e-06,5.377,5.6,2026-07-14T05:27:17.222278+00:00,0.5507617553233467
,,126.91,36,False,0.00011180655275717316,4.335314297038658e-06,4.335314297038658e-06,5.371,5.6,2026-07-14T05:30:14.661472+00:00,0.5522562997591289
,,125.934,37,False,0.00010430195934094536,4.109423525312738e-06,4.109423525312738e-06,5.369,5.6,2026-07-14T05:32:45.988652+00:00,0.5497776674005298
,,125.244,38,False,9.69239915429776e-05,3.88734422704615e-06,3.88734422704615e-06,5.372,5.6,2026-07-14T05:35:07.869118+00:00,0.5455840841074231
,,125.762,39,False,8.969287186016789e-05,3.6696851061589014e-06,3.6696851061589014e-06,5.371,5.6,2026-07-14T05:37:30.451812+00:00,0.5412864789149042
22.02957674655788,48.34268230494646,138.774,40,True,8.262842028893776e-05,3.4570427511720416e-06,3.4570427511720416e-06,5.369,5.6,2026-07-14T05:40:05.918887+00:00,0.5419459469210738
,,125.458,41,False,7.575000000000004e-05,3.2500000000000028e-06,3.2500000000000028e-06,5.367,5.6,2026-07-14T05:42:51.267164+00:00,0.5398041248559002
,,125.065,42,False,6.907646426525351e-05,3.0491243424323813e-06,3.0491243424323813e-06,5.369,5.6,2026-07-14T05:45:12.600098+00:00,0.5383520306027426
,,126.317,43,False,6.26261047822753e-05,2.8549663646838734e-06,2.8549663646838734e-06,5.366,5.6,2026-07-14T05:47:38.202090+00:00,0.5349235122659767
,,126.085,44,False,5.641660153804934e-05,2.668058240275734e-06,2.668058240275734e-06,5.37,5.6,2026-07-14T05:50:03.450322+00:00,0.5329660725783542
23.71239163691994,49.056603773584904,137.985,45,True,5.046497434935076e-05,2.488912271385141e-06,2.488912271385141e-06,5.371,5.6,2026-07-14T05:52:38.030831+00:00,0.5325191336798953
,,125.251,46,False,4.478753621261117e-05,2.318019484660538e-06,2.318019484660538e-06,5.369,5.6,2026-07-14T05:55:16.092628+00:00,0.531849947267003
,,127.135,47,False,3.93998485911296e-05,2.155848285351728e-06,2.155848285351728e-06,5.374,5.6,2026-07-14T05:57:42.197098+00:00,0.5312281933280418
,,124.618,48,False,3.431667876218286e-05,2.002843173443632e-06,2.002843173443632e-06,5.37,5.6,2026-07-14T06:00:06.226750+00:00,0.5292891282959288
,,124.053,49,False,2.9551959340945383e-05,1.859423525312738e-06,1.859423525312738e-06,5.371,5.6,2026-07-14T06:02:29.478351+00:00,0.5244231812982445
23.661397246302908,48.64864864864865,139.377,50,True,2.511875009215913e-05,1.7259824442455929e-06,1.7259824442455929e-06,5.375,5.6,2026-07-14T06:05:06.622657+00:00,0.527380829036315
,,124.013,51,False,2.1029202134226422e-05,1.6028856829700262e-06,1.6028856829700262e-06,5.371,5.6,2026-07-14T06:07:28.006877+00:00,0.527901370409792
,,125.442,52,False,1.7294524633839024e-05,1.4904706411523453e-06,1.4904706411523453e-06,5.381,5.6,2026-07-14T06:09:46.691664+00:00,0.5286347437427339
,,124.114,53,False,1.392495408243116e-05,1.389045440608296e-06,1.389045440608296e-06,5.371,5.6,2026-07-14T06:12:10.194192+00:00,0.5262956653299876
,,125.389,54,False,1.0929726238668344e-05,1.2988880807625924e-06,1.2988880807625924e-06,5.37,5.6,2026-07-14T06:14:40.570891+00:00,0.5251178557416832
23.04946455889852,50.07649158592555,138.004,55,True,8.31705081387455e-06,1.2202456766718092e-06,1.2202456766718092e-06,5.367,5.6,2026-07-14T06:17:17.699696+00:00,0.528135139470398
,,125.942,56,False,6.09408896978429e-06,1.1533337816991927e-06,1.1533337816991927e-06,5.374,5.6,2026-07-14T06:19:59.688203+00:00,0.5240493047126578
,,125.679,57,False,4.266933690296051e-06,1.0983357966978744e-06,1.0983357966978744e-06,5.371,5.6,2026-07-14T06:22:23.878734+00:00,0.5214608321547667
,,128.153,58,False,2.840593081026921e-06,1.0554024673218806e-06,1.0554024673218806e-06,5.375,5.6,2026-07-14T06:24:48.230357+00:00,0.5251508647227192
,,125.501,59,False,1.818976642443127e-06,1.0246514708427697e-06,1.0246514708427697e-06,5.372,5.6,2026-07-14T06:27:11.768540+00:00,0.5221045469224532
23.55940846506884,49.56654767975523,136.928,60,True,1.204884554191212e-06,1.0061670936044177e-06,1.0061670936044177e-06,5.373,5.6,2026-07-14T06:29:49.915483+00:00,0.5265446902904536
